species_code,n_records,percentile,last_sync
nosdwk1,3,3.6448,2025-04-27T17:52:55.782Z
guadwk1,3,3.6540,2025-04-27T17:52:55.782Z
vardwk7,3,3.6631,2025-04-27T17:52:55.782Z
railor6,3,3.6722,2025-04-27T17:52:55.782Z
loupit1,3,3.6814,2025-04-27T17:52:55.782Z
huocat1,3,3.6905,2025-04-27T17:52:55.782Z
lobmel1,3,3.6996,2025-04-27T17:52:55.782Z
taghon1,3,3.7088,2025-04-27T17:52:55.782Z
bouhon1,3,3.7179,2025-04-27T17:52:55.782Z
mancic1,3,3.7270,2025-04-27T17:52:55.782Z
retnew1,3,3.7362,2025-04-27T17:52:55.782Z
cepfly1,3,3.7453,2025-04-27T17:52:55.782Z
dusfan1,3,3.7545,2025-04-27T17:52:55.782Z
shbcro1,3,3.7636,2025-04-27T17:52:55.782Z
pasbab2,3,3.7727,2025-04-27T17:52:55.782Z
yapwhe1,3,3.7819,2025-04-27T17:52:55.782Z
saweye1,3,3.7910,2025-04-27T17:52:55.782Z
warlin1,3,3.8001,2025-04-27T17:52:55.782Z
carsee1,3,3.8093,2025-04-27T17:52:55.782Z
miipig2,4,3.8184,2025-04-27T17:52:55.782Z
auirai1,4,3.8275,2025-04-27T17:52:55.782Z
guarai1,4,3.8367,2025-04-27T17:52:55.782Z
flsowl1,4,3.8458,2025-04-27T17:52:55.782Z
talowl1,4,3.8549,2025-04-27T17:52:55.782Z
wrbhor1,4,3.8641,2025-04-27T17:52:55.782Z
colkin17,4,3.8732,2025-04-27T17:52:55.782Z
mickin1,4,3.8823,2025-04-27T17:52:55.782Z
tutbar1,4,3.8915,2025-04-27T17:52:55.782Z
olspar1,4,3.9006,2025-04-27T17:52:55.782Z
suppit1,4,3.9097,2025-04-27T17:52:55.782Z
gocman2,4,3.9189,2025-04-27T17:52:55.782Z
recmyz3,4,3.9280,2025-04-27T17:52:55.782Z
blujeb2,4,3.9372,2025-04-27T17:52:55.782Z
tagbut1,4,3.9463,2025-04-27T17:52:55.782Z
talgrw1,4,3.9554,2025-04-27T17:52:55.782Z
shawar1,4,3.9646,2025-04-27T17:52:55.782Z
baweye2,4,3.9737,2025-04-27T17:52:55.782Z
gyflio1,4,3.9828,2025-04-27T17:52:55.782Z
pabmyn1,4,3.9920,2025-04-27T17:52:55.782Z
sacthr2,4,4.0011,2025-04-27T17:52:55.782Z
sumcoc1,4,4.0102,2025-04-27T17:52:55.782Z
rufjuf1,4,4.0194,2025-04-27T17:52:55.782Z
speflo1,4,4.0285,2025-04-27T17:52:55.782Z
sumlea1,4,4.0376,2025-04-27T17:52:55.782Z
cinwea1,4,4.0468,2025-04-27T17:52:55.782Z
yecwea1,4,4.0559,2025-04-27T17:52:55.782Z
brubrt1,5,4.0650,2025-04-27T17:52:55.782Z
blapar2,5,4.0742,2025-04-27T17:52:55.782Z
margrd1,5,4.0833,2025-04-27T17:52:55.782Z
maseag1,5,4.0924,2025-04-27T17:52:55.782Z
ivbwoo,5,4.1016,2025-04-27T17:52:55.782Z
yebrat1,5,4.1107,2025-04-27T17:52:55.782Z
crbfip1,5,4.1199,2025-04-27T17:52:55.782Z
